drug,reaction,report_count,ROR,CI_lower,CI_upper,drug_reaction
LITHIONIT,MUSCLE SPASMS,3,312.66,32.23,3033.1,LITHIONIT + MUSCLE SPASMS
REMODULIN,INFUSION SITE PAIN,3,312.66,32.23,3033.1,REMODULIN + INFUSION SITE PAIN
CYCLOPHOSPHAMIDE,CHRONIC MYELOID LEUKAEMIA,4,308.53,67.03,1420.07,CYCLOPHOSPHAMIDE + CHRONIC MYELOID LEUKAEMIA
CYCLOPHOSPHAMIDE,GRAFT VERSUS HOST DISEASE,4,308.53,67.03,1420.07,CYCLOPHOSPHAMIDE + GRAFT VERSUS HOST DISEASE
TAMOXIFEN CITRATE (UNKNOWN),BREAST CANCER,3,306.15,31.57,2969.42,TAMOXIFEN CITRATE (UNKNOWN) + BREAST CANCER
DRONEDARONE,SHOCK HAEMORRHAGIC,3,304.47,49.77,1862.51,DRONEDARONE + SHOCK HAEMORRHAGIC
STRATTERA,SOMNOLENCE,3,303.0,31.24,2938.56,STRATTERA + SOMNOLENCE
CIRCADIN,SOMNOLENCE,3,303.0,31.24,2938.56,CIRCADIN + SOMNOLENCE
DOCETAXEL (UNKNOWN),NEOPLASM PROGRESSION,4,301.79,72.41,1257.86,DOCETAXEL (UNKNOWN) + NEOPLASM PROGRESSION
VICTRELIS,PANCYTOPENIA,7,297.89,103.2,859.89,VICTRELIS + PANCYTOPENIA
EPLERENONE,DEPRESSION,3,296.88,30.62,2878.71,EPLERENONE + DEPRESSION
STRATTERA,DEPRESSION,3,296.88,30.62,2878.71,STRATTERA + DEPRESSION
CIRCADIN,DEPRESSION,3,296.88,30.62,2878.71,CIRCADIN + DEPRESSION
SUBOXONE FILM,WRONG TECHNIQUE IN DRUG USAGE PROCESS,4,294.76,64.12,1354.92,SUBOXONE FILM + WRONG TECHNIQUE IN DRUG USAGE PROCESS
METFORMIN HYDROCHLORIDE.,OFF LABEL USE,8,294.21,61.89,1398.5,METFORMIN HYDROCHLORIDE. + OFF LABEL USE
PLAVIX,MULTIPLE INJURIES,4,291.94,52.59,1620.74,PLAVIX + MULTIPLE INJURIES
AVANDIA,CORONARY ARTERY DISEASE,4,284.91,79.81,1017.11,AVANDIA + CORONARY ARTERY DISEASE
FOSAMAX,FEMUR FRACTURE,4,284.83,77.28,1049.81,FOSAMAX + FEMUR FRACTURE
DIPHENHYDRAMINE,COMPLETED SUICIDE,4,284.66,72.61,1115.9,DIPHENHYDRAMINE + COMPLETED SUICIDE
IMPLANON,MEDICAL DEVICE COMPLICATION,4,278.94,78.56,990.37,IMPLANON + MEDICAL DEVICE COMPLICATION
YAZ,DEEP VEIN THROMBOSIS,20,278.43,138.92,558.05,YAZ + DEEP VEIN THROMBOSIS
LAMOTRIGINE,MATERNAL DRUGS AFFECTING FOETUS,4,276.97,77.33,992.02,LAMOTRIGINE + MATERNAL DRUGS AFFECTING FOETUS
TYVASO,LARYNGEAL PAIN,5,274.16,31.87,2358.72,TYVASO + LARYNGEAL PAIN
POMALYST,PLASMA CELL MYELOMA,3,272.07,65.81,1124.77,POMALYST + PLASMA CELL MYELOMA
CEFTRIAXONE,MATERNAL EXPOSURE DURING PREGNANCY,5,267.69,77.61,923.27,CEFTRIAXONE + MATERNAL EXPOSURE DURING PREGNANCY
OXYTROL FOR WOMEN,APPLICATION SITE PRURITUS,11,266.45,83.45,850.73,OXYTROL FOR WOMEN + APPLICATION SITE PRURITUS
PICATO,APPLICATION SITE DRYNESS,4,265.63,67.99,1037.81,PICATO + APPLICATION SITE DRYNESS
DIANEAL LOW CALCIUM,ULTRAFILTRATION FAILURE,5,265.11,30.82,2280.46,DIANEAL LOW CALCIUM + ULTRAFILTRATION FAILURE
DONEPEZIL,ABASIA,3,262.42,61.12,1126.79,DONEPEZIL + ABASIA
CARBOPLATIN,ACUTE MYELOID LEUKAEMIA,3,262.42,61.12,1126.79,CARBOPLATIN + ACUTE MYELOID LEUKAEMIA
HUMIRA,INTESTINAL STENOSIS,3,260.05,26.85,2518.99,HUMIRA + INTESTINAL STENOSIS
CECLOR,DRUG HYPERSENSITIVITY,3,257.77,26.61,2496.68,CECLOR + DRUG HYPERSENSITIVITY
NEXPLANON,DEVICE DIFFICULT TO USE,4,255.49,68.08,958.72,NEXPLANON + DEVICE DIFFICULT TO USE
APREPITANT,SWELLING FACE,3,255.26,49.97,1304.02,APREPITANT + SWELLING FACE
ENBREL,INJECTION SITE SWELLING,4,251.01,45.32,1390.32,ENBREL + INJECTION SITE SWELLING
BENDROFLUMETHIAZIDE,WITHDRAWAL SYNDROME,3,249.38,60.95,1020.38,BENDROFLUMETHIAZIDE + WITHDRAWAL SYNDROME
BENDROFLUMETHIAZIDE,TRANSAMINASES INCREASED,3,249.38,60.95,1020.38,BENDROFLUMETHIAZIDE + TRANSAMINASES INCREASED
DONEPEZIL,NECK PAIN,3,249.28,58.26,1066.64,DONEPEZIL + NECK PAIN
CLOPIDOGREL,HAEMATURIA,5,249.12,78.12,794.47,CLOPIDOGREL + HAEMATURIA
PARAGARD 380A,METRORRHAGIA,6,248.7,76.92,804.07,PARAGARD 380A + METRORRHAGIA
DABIGATRAN,SHOCK HAEMORRHAGIC,3,248.38,40.76,1513.34,DABIGATRAN + SHOCK HAEMORRHAGIC
METHOTREXATE,CHRONIC MYELOID LEUKAEMIA,5,247.32,47.42,1289.93,METHOTREXATE + CHRONIC MYELOID LEUKAEMIA
TAMOXIFEN (UNKNOWN),MALIGNANT NEOPLASM PROGRESSION,19,246.25,118.58,511.39,TAMOXIFEN (UNKNOWN) + MALIGNANT NEOPLASM PROGRESSION
QUETIAPINE,AGGRESSION,4,241.7,69.15,844.83,QUETIAPINE + AGGRESSION
